Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
H2 Carbon Zero,Energy Tech > Energy Storage Tech,Delhi,$850K,Seed,Venture Catalysts,850000.0
ZillOut,Food and Agriculture Tech > Food Tech,Karnataka,$310K,Seed,Jindagilive Angel Network,310000.0
Dezerv,FinTech > Investment Tech,Maharashtra,$40M,Series C,Premji Invest,40000000.0
Vipul Organics,Chemicals & Materials > Dyes Pigments and Inks,Maharashtra,$3.97M,Post IPO,-,3970000.0
OZi,Retail > Mom & Baby Care,Haryana,$3.3M,Seed,Blume Venture,3300000.0
Lucio,High Tech > Chatbots,Karnataka,$5M,Series A,DeVC,5000000.0
Finarkein Analytics,FinTech > Banking Tech,Maharashtra,Undisclosed,Seed,DSP Group Family Office,
PRYM Aerospace,High Tech > Drones,Maharashtra,$2.41M,Seed,Lloyds steel,2410000.0
Ecoex,Environment Tech > Solid Waste Management Tech,Delhi,$4M,Seed,-,4000000.0
Navata Supply Chain Solutions,Business Services > Supply Chain Services,Telangana,$1.52M,Series A,Abyro Capital,1520000.0
AltMat,High Tech > Advanced Materials,Gujarat,Undisclosed,Seed,Rainmatter,
Exsure,Life Sciences > Oncology,Odisha,$11.3K,Seed,AIC-Nalanda Institute Of Technology Foundation,11300.0
DecorTwist,Consumer Goods > Home Furnishing Products,Uttar Pradesh,$200K,Seed,Tejas Paresh Lodaya,200000.0
GreyLabs,High Tech > Natural Language Processing,Maharashtra,$9.6M,Series A,Elevation Capital,9600000.0
Raise,FinTech > Investment Tech,Maharashtra,$120M,Series B,Beenext,120000000.0
JSW One MSME,Enterprise Applications > Manufacturing Tech,Maharashtra,$26.5M,Series B,Oneup Financial Consultants,26500000.0
ThrustWorks Dynetics,"Aerospace, Maritime & Defense Tech > Space Tech",Maharashtra,$789K,Seed,Jamwant Ventures,789000.0
ThrustWorks Dynetics,"Aerospace, Maritime & Defense Tech > Space Tech",Maharashtra,$789K,Seed,Jamwant Ventures,789000.0
Art Of Time,Consumer Goods > Retailers,Maharashtra,Undisclosed,Series B,Plutus Wealth Management,
Sammaan Capital,Financial Services > Consumer and SME Loans,Delhi,$1B,Post IPO,IHC / Marshall Wace,
Freight Tiger,Consumer > Logistics Tech,Maharashtra,$13.5M,Series C,Tata Motors / Lightspeed India,13500000.0
Recyclaro.com,Environment Tech > Solid Waste Management Tech,Uttar Pradesh,$1M,Seed,CapitalOven,1000000.0
GrowXCD,Financial Services > Consumer and SME Loans,Tamil Nadu,$22.5M,Series B,Blue Earth Capital / Lok Capital,22500000.0
Assesslim,High Tech > AI Infrastructure,West Bengal,$5M,Seed,Foxhog Ventures / IDEAS TIH,5000000.0
UNMANND,"Aerospace, Maritime and Defense Tech > Military Tech",Karnataka,$2M,Seed,Speciale Invest,2000000.0
VAMAm,Consumer > Local Services,Delhi,$2.5M,Seed,Wavemaker Partners / 7Square Ventures,2500000.0
Climaty AI,Enterprise Applications > AdTech,"Dubai, Karnataka",$2M,Seed,Turbostart,2000000.0
Ignosis,FinTech > Banking Tech,Gujarat,$4M,Seed,Peak XV Partners,4000000.0
Fyno,Enterprise Applications > Customer Success Management,Karnataka,$4M,Seed,Arkam Ventures / 3one4 Capital,4000000.0
Recur Club,FinTech > Alternative Lending,Delhi,$42M,Conventional Debt,InCred / Info Edge Ventures,42000000.0
Recur Club,FinTech > Alternative Lending,Delhi,$8M,Series A,Info Edge Ventures,8000000.0
Wit And Chai Group,Business Services > Marketing Services,Maharashtra,Undisclosed,Seed,Sanjay Katkar,
Hocco,Food and Agriculture > Food Service Chains,Gujarat,$13M,Series B,Sauce,13000000.0
Petpoojam,Food and Agriculture Tech > Food Tech,Gujarat,Undisclosed,Series C,Dharana / Gujarat Venture Finance,
Kapivas,Life Sciences > Nutraceuticals Tech,Karnataka,$28M,Series D,Vertex Growth / Jetty Ventures,28000000.0
Vaani Research Labs,High Tech > Chatbots,Karnataka,$400K,Seed,Venture Catalysts,400000.0
